店舗名,店舗住所,業種
Cafe & Dining La Luce (ラ・ルーチェ) ラルーチェ,つくば市 古来 1420-1,飲食 / 飲食店・喫茶店
Beer & Cafe Engi Beer&Cafe  Engi,つくば市 吾妻 1-10-1 つくばセンタービル1F,飲食 / 飲食店・喫茶店
アオイ ザンギ亭キュート店,つくば市 吾妻 1-16-1 1Fフードコート キュートモール,飲食 / 飲食店・喫茶店
三浦飲食堂 ,つくば市 吾妻 1-5-1 財団事務所ビル2F,飲食 / 飲食店・喫茶店
ネネチキン&ジョンノハットグ トナリエキュートつくば店,つくば市 吾妻 1-6-1 トナリエキュート1階 フードコート内,飲食 / 飲食店・喫茶店
石挽蕎麦 一 成 つくば蕎麦物語 一成,つくば市 吾妻 1-8-10 BiViつくば2階,飲食 / 飲食店・喫茶店
本格インド料理サイノ トナリエキュート,つくば市 吾妻 1丁目6番1号,飲食 / 飲食店・喫茶店
La Tavernetta MURAKAMI ,つくば市 吾妻 3-12-1,飲食 / 飲食店・喫茶店
Daar Ji - Indian Sweets & Restaurant ダールジーインド料理,つくば市 吾妻 3-13-9 Suzuki Building 2F,飲食 / 飲食店・喫茶店
LAID BACK BURGER LAID BACK BURGER,つくば市 吾妻 3-7-15 パレス柴原-I 103,飲食 / 飲食店・喫茶店
松見亭 ,つくば市 吾妻 3丁目 7-13,飲食 / 飲食店・喫茶店
TRANGちゃん TRANGちゃん,つくば市 吾妻 3丁目8-1 吾妻ハイツ102,飲食 / 飲食店・喫茶店
Beer&CafeEngi Beer&CafeEngi,つくば市 吾妻1-10-1 つくばセンタービル一階,飲食 / 飲食店・喫茶店
つくば山水亭別亭 ホテル日航本館2階,つくば市 吾妻1-1364-1 ホテル日航つくば本館2F,飲食 / 飲食店・喫茶店
塚田農場 塚田農場 つくば,つくば市 吾妻1-5-3つくばクレオスクエアMOG 3階,飲食 / 飲食店・喫茶店
蓮屋 権左衛門 ,つくば市 吾妻1-5-7 ダイワロイネットホテル つくば 1F,飲食 / 飲食店・喫茶店
Cafe Apartment Cafe Apartment TSUKUBA,つくば市 吾妻1-7-5,飲食 / 飲食店・喫茶店
サザコーヒー つくば駅前店,つくば市 吾妻1-8-10 Biviつくば 1階,飲食 / 飲食店・喫茶店
串かつ でんがな BiViつくば店,つくば市 吾妻1-8-10 BiViつくば3階,飲食 / 飲食店・喫茶店
BBQ BBQ DAYS トナリエクレオつくば店【LH F】,つくば市 吾妻1丁目7−1 トナリエクレオつくば屋上,飲食 / 飲食店・喫茶店
コーヒーファクトリー コーヒーファクトリー スタートアップカフェ,つくば市 吾妻2-5-1 つくば市産業振興センター,飲食 / 飲食店・喫茶店
ほしまるカフェ ほしまるカフェ,つくば市 吾妻2-9 エキスポセンター,飲食 / 飲食店・喫茶店
morris morris,つくば市 吾妻3-16-7 野上ビル1A号室,飲食 / 飲食店・喫茶店
香色茶坊 香色茶坊,つくば市 吾妻3-8-10,飲食 / 飲食店・喫茶店
ラーメン龍郎 ラーメン龍郎,つくば市 吾妻3丁目 8-1,飲食 / 飲食店・喫茶店
とんかつ丸三 ,つくば市 高見原 1-5-52,飲食 / 飲食店・喫茶店
カフェ&レストラン バスティーユ ,つくば市 高見原 2-10-82,飲食 / 飲食店・喫茶店
でれすけ ,つくば市 高見原 5-1-28 みちのくビル4階,飲食 / 飲食店・喫茶店
HAPPY sawadee,つくば市 高見原1-5-132 圓山ビル1F,飲食 / 飲食店・喫茶店
手打ちそば梁 手打ちそば梁,つくば市 高野 387番地3号,飲食 / 飲食店・喫茶店
居酒屋姉妹 ,つくば市 高野 577-3,飲食 / 飲食店・喫茶店
カフェ紫龍 ,つくば市 高野台 2丁目3番地9,飲食 / 飲食店・喫茶店
ロダン ,つくば市 高野台 3-15-35,飲食 / 飲食店・喫茶店
とむとむ COFFEE HOUSE つくば店,つくば市 高野台2-9-8,飲食 / 飲食店・喫茶店
COFFEEHOUSE とむとむ COFFEEHOUSE とむとむ つくば店,つくば市 高野台2-9-8,飲食 / 飲食店・喫茶店
めし処はらへった ,つくば市 今鹿島 4010-6,飲食 / 飲食店・喫茶店
EGO kitchen EGO kitchen,つくば市 細見892-1,飲食 / 飲食店・喫茶店
麺や 小五郎 麺や 小五郎,つくば市 桜 1-12-1,飲食 / 飲食店・喫茶店
アイマン 桜店,つくば市 桜 2-14-10,飲食 / 飲食店・喫茶店
悪魔手羽先 筑波店,つくば市 桜 2-15-3 中山ビル103,飲食 / 飲食店・喫茶店
博多拉麺 一休 博多拉麺 一休,つくば市 桜 2-1-7,飲食 / 飲食店・喫茶店
TK kitchen te.to.te 373BAR(TK kitchen),つくば市 桜 2-1-7 グランパスつくば102,飲食 / 飲食店・喫茶店
ホワイト・バジル ,つくば市 桜 2-51-5,飲食 / 飲食店・喫茶店
からあげ専門店たまちゃん からあげ専門店たまちゃん,つくば市 桜 3-10-1 片岡テナント,飲食 / 飲食店・喫茶店
M.S.B M.S.B hamburger & sandwich,つくば市 桜 3-8-4 アグレアーブル1F,飲食 / 飲食店・喫茶店
創作中華 えん弥 桜店,つくば市 桜1-13-7,飲食 / 飲食店・喫茶店
野菜肉巻き串 串焼 MIKAN(ミカン) 野菜肉巻き串 串焼 MIKAN(ミカン),つくば市 桜2-15-3,飲食 / 飲食店・喫茶店
合同会社 Rainn からあげ専門店 鶏笑 桜店,つくば市 桜2-15-3,飲食 / 飲食店・喫茶店
DoDo 筑波店,つくば市 桜2-15-3 中山ビル103,飲食 / 飲食店・喫茶店
フランス菓子アルル フランス菓子アルル,つくば市 桜3-1-8 フランス菓子アルル,飲食 / 飲食店・喫茶店
モーカフェ ,つくば市 山中 480-38,飲食 / 飲食店・喫茶店
食彩工房PALETTE.. ,つくば市 市之台 120-8,飲食 / 飲食店・喫茶店
粉雪屋 粉雪屋,つくば市 篠崎2129-9,飲食 / 飲食店・喫茶店
アヤカリ亭 アヤカリ亭,つくば市 柴崎 1050-1,飲食 / 飲食店・喫茶店
つくば牡丹園 つくば牡丹園,つくば市 若栗500,飲食 / 飲食店・喫茶店
田舎の台所 零壱 ,つくば市 手子生 1061-1,飲食 / 飲食店・喫茶店
DROOL DINER ドロールダイナー,つくば市 手子生 924−7,飲食 / 飲食店・喫茶店
コルヌ コピア コルヌコピア,つくば市 手代木 2005-3,飲食 / 飲食店・喫茶店
AMICI PIZZERIA AMICI,つくば市 手代木 261-10,飲食 / 飲食店・喫茶店
AMICI TRATTORIA E PIZZERIA AMICI,つくば市 手代木 286-1,飲食 / 飲食店・喫茶店
ブラックボード つくば店,つくば市 手代木 291-3,飲食 / 飲食店・喫茶店
やきにく穏和 つくば学園店,つくば市 手代木 716番地1,飲食 / 飲食店・喫茶店
ナチュカフェ ナチュカフェなないろ,つくば市 手代木字東向1893-1,飲食 / 飲食店・喫茶店
ビーロク ,つくば市 春日 2-33-22,飲食 / 飲食店・喫茶店
Cruise ,つくば市 春日 3-1-7 1階,飲食 / 飲食店・喫茶店
より味ち より味ち,つくば市 春日 4-15-19,飲食 / 飲食店・喫茶店
Cruise(クルーズ) Cruise(クルーズ),つくば市 春日3-1-7 1F,飲食 / 飲食店・喫茶店
ジェイ・エス・ビー・フードサービス 学生会館 Uni E’meal つくば春日,つくば市 春日4丁目5-7,飲食 / 飲食店・喫茶店
萬年喜鮨 萬年喜鮨,つくば市 小野崎 1360番地,飲食 / 飲食店・喫茶店
ソウル家 ソウル家,つくば市 小野崎 1736番地2,飲食 / 飲食店・喫茶店
アオイ 天下一品つくば店,つくば市 小野崎 281-1,飲食 / 飲食店・喫茶店
平城苑 焼肉 平城苑 つくば学園店,つくば市 小野崎 283-1,飲食 / 飲食店・喫茶店
焼肉竃 焼肉 竈,つくば市 小野崎 303-13,飲食 / 飲食店・喫茶店
リストランテ LA CICCIA ,つくば市 小野崎 433-1,飲食 / 飲食店・喫茶店
NAMICHIDORI茶房 NAMICHIDORI茶房,つくば市 小野崎 437-1,飲食 / 飲食店・喫茶店
棕櫚 棕櫚,つくば市 小野崎 956-1,飲食 / 飲食店・喫茶店
李厨房 小野崎店,つくば市 小野崎308-15 李厨房小野崎店,飲食 / 飲食店・喫茶店
天龍本店 天龍本店 学園店,つくば市 小野崎88-21,飲食 / 飲食店・喫茶店
8代葵カフェ つくば学園店 ,つくば市 小野崎字稲荷山581-1,飲食 / 飲食店・喫茶店
Mount Tsukuba Shop BASE877 ,つくば市 松代 2-10-3 1F-C,飲食 / 飲食店・喫茶店
POTATO′S CAFE craftfries ,つくば市 松代 2-7-1 パークサイドマリッチ103,飲食 / 飲食店・喫茶店
Café M Cafe M,つくば市 松代 2-7-2 瀬尾ビル104,飲食 / 飲食店・喫茶店
パンさんの店 パンさんの店,つくば市 松代 2丁目1-7,飲食 / 飲食店・喫茶店
MATSUSHIRO BURGER and CAFE ,つくば市 松代 4-200-1 松代ショッピングセンター構内,飲食 / 飲食店・喫茶店
LUCY CAFE ,つくば市 松代 5丁目14番地1,飲食 / 飲食店・喫茶店
焼肉きんぐ 焼肉きんぐつくば店,つくば市 松代1-1-1,飲食 / 飲食店・喫茶店
SAKURA cafe SAKURA cafe,つくば市 松代4-19-1 松代ショッピングセンター,飲食 / 飲食店・喫茶店
ビストロ・シェ・レノン ビストロ・シェ・レノン,つくば市 松野木 100-11,飲食 / 飲食店・喫茶店
韓国料理 済州 韓国家庭料理 濟州,つくば市 松野木 176-6,飲食 / 飲食店・喫茶店
旬果菓子つくばsweets 旬果菓子つくばsweets,つくば市 松野木99-6,飲食 / 飲食店・喫茶店
ロッティカフェ lotti cafe,つくば市 上ノ室 2168-1,飲食 / 飲食店・喫茶店
ゆーりえっとつくば ゆーりえっとつくば,つくば市 上ノ室2042-1,飲食 / 飲食店・喫茶店
自然薯料理福々亭 ,つくば市 上横場 1979番地1,飲食 / 飲食店・喫茶店
キッチンJUJU ,つくば市 上横場 2286-1,飲食 / 飲食店・喫茶店
とおるの台所 ,つくば市 上横場 2287-1,飲食 / 飲食店・喫茶店
レストラン アダージョ レストランアダージョ,つくば市 上横場 436番地7,飲食 / 飲食店・喫茶店
壱番亭 壱番亭つくば店,つくば市 上横場2162-4,飲食 / 飲食店・喫茶店
おおきや おおきや,つくば市 上横場2365-8,飲食 / 飲食店・喫茶店
ばんどう太郎 みどりの店 ,つくば市 上萱丸343-1,飲食 / 飲食店・喫茶店
ALL RIGHT COFFEE ALL RIGHT COFFEE,つくば市 上岩崎 782,飲食 / 飲食店・喫茶店
Casa Nova 桜店 ,つくば市 上境 295-3,飲食 / 飲食店・喫茶店
エマズハウス ,つくば市 上郷 1640,飲食 / 飲食店・喫茶店
どんぐり ,つくば市 上郷 1713-1,飲食 / 飲食店・喫茶店
鮨処 ひろせ 鮨処ひろせ,つくば市 上郷 6860,飲食 / 飲食店・喫茶店
坂東太郎 つくば店 ,つくば市 上郷1091-4,飲食 / 飲食店・喫茶店
アフリカの家庭料理シダモ アフリカの家庭料理シダモ,つくば市 上野 613-5,飲食 / 飲食店・喫茶店
cafe PINON cafe PINON,つくば市 水守 971,飲食 / 飲食店・喫茶店
ガトー・プーリア ガトー・プーリア,つくば市 水堀587-54,飲食 / 飲食店・喫茶店
石臼挽き自家製粉純手打ちそばきむら ,つくば市 西岡 418-276,飲食 / 飲食店・喫茶店
肉匠坂井 つくば研究学園店,つくば市 西岡 419-1,飲食 / 飲食店・喫茶店
すぎのや本陣 牛久インター店,つくば市 西大井宇池向1693-3,飲食 / 飲食店・喫茶店
ビストロ 花まさ 本店,つくば市 西大橋 197-5,飲食 / 飲食店・喫茶店
ビストロ花まさ大人のカフェ ,つくば市 西大橋 197-5,飲食 / 飲食店・喫茶店
こだわりらーめん ゆきむら亭 つくば店,つくば市 西大橋字前田 735-1,飲食 / 飲食店・喫茶店
やまびこ弁天 手打ちうどん やまびこ弁天,つくば市 西大沼 128-4,飲食 / 飲食店・喫茶店
こだわりらーめん ゆきむら亭 つくば西店,つくば市 西平塚331-10,飲食 / 飲食店・喫茶店
かつ太郎本店 つくば学園店 ,つくば市 西平塚331-7,飲食 / 飲食店・喫茶店
フライングガーデン フライングガーデン つくば西平塚店,つくば市 西平塚332-1,飲食 / 飲食店・喫茶店
ばんどう太郎 つくば学園店 ,つくば市 西平塚字梨の木331-7,飲食 / 飲食店・喫茶店
焼肉珍味亭 ,つくば市 赤塚 4-1,飲食 / 飲食店・喫茶店
串焼 ターザン ,つくば市 赤塚 502-57 ハーマナイズ21赤塚101,飲食 / 飲食店・喫茶店
チーズスイーツ工房 WITH CHEESE つくば店,つくば市 赤塚 685-13,飲食 / 飲食店・喫茶店
Arzonie ITALIA アルゾーニ・イタリア,つくば市 赤塚 703-3,飲食 / 飲食店・喫茶店
つくばきくらげ販売 つくばきくらげ販売,つくば市 赤塚607-25,飲食 / 飲食店・喫茶店
ばんどう太郎 学園南店 ,つくば市 赤塚627-2,飲食 / 飲食店・喫茶店
ターブル ,つくば市 千現 2-1-6,飲食 / 飲食店・喫茶店
コーヒーファクトリー ,つくば市 千現2丁目13番地の1,飲食 / 飲食店・喫茶店
TRATTORIA  Sereno トラットリア セレーノ,つくば市 倉掛 1034-1 TRATTORIA Sereno,飲食 / 飲食店・喫茶店
焼肉レストラン沙羅峰 焼肉レストラン沙羅峰,つくば市 倉掛1217-3,飲食 / 飲食店・喫茶店
みょうり ,つくば市 大井 1438-2,飲食 / 飲食店・喫茶店
和食かつら 和食かつら,つくば市 大井1576-2,飲食 / 飲食店・喫茶店
レストラン Maru レストランMaru,つくば市 大角豆2012-811,飲食 / 飲食店・喫茶店
もっくん珈琲 もっくん珈琲,つくば市 大曽根 3439-1,飲食 / 飲食店・喫茶店
ピザ&パスタ ビビアーナ つくば大穂店,つくば市 大曽根 3507,飲食 / 飲食店・喫茶店
シーフードレストランメヒコ つくばフラミンゴ館,つくば市 大曽根3362,飲食 / 飲食店・喫茶店
メヒコ つくば店 メヒコ つくば店,つくば市 大曽根3362,飲食 / 飲食店・喫茶店
ラーメンガキ大将 ラーメンガキ大将谷田部店,つくば市 谷田部 1224,飲食 / 飲食店・喫茶店
定食一番 ,つくば市 谷田部 204-1,飲食 / 飲食店・喫茶店
カラオケ絆 ,つくば市 谷田部 204-1,飲食 / 飲食店・喫茶店
YATABE COFFEE YATABE COFFEE,つくば市 谷田部 2417-45,飲食 / 飲食店・喫茶店
ウッディーキャロット&モモコハウス ,つくば市 谷田部 2774-1,飲食 / 飲食店・喫茶店
占いカフェ*パナシーア Panacea,つくば市 谷田部 2958 高野テナント4号室,飲食 / 飲食店・喫茶店
鮨処 修 ,つくば市 竹園 1-12-1 新興ビル1階,飲食 / 飲食店・喫茶店
エヌズカフェ エヌズカフェ,つくば市 竹園 1‐3‐1,飲食 / 飲食店・喫茶店
アジアン酒場 門星 Monstar ,つくば市 竹園 1-9-2,飲食 / 飲食店・喫茶店
パエリアダイニング ポコ・ロコ パエリアダイニング ポコ・ロコ,つくば市 竹園 1-9-2 デイズタウン1F,飲食 / 飲食店・喫茶店
タイ屋台 つくばパクチー ,つくば市 竹園 1-9-2 デイズタウンB1,飲食 / 飲食店・喫茶店
つくばパンケーキ88カフェ ,つくば市 竹園 1-9-2 デイズタウンつくば1F,飲食 / 飲食店・喫茶店
中華そば潤ちゃん 中華そば潤ちゃん,つくば市 竹園 2-10-1 第四芝原ビル,飲食 / 飲食店・喫茶店
中津からあげ総本家もり山つくば竹園店 中津からあげ(発祥の店)総本家もり山つくば竹園店,つくば市 竹園 2-6-1,飲食 / 飲食店・喫茶店
やまと豚専門店とんとん やまと豚専門店とんとん,つくば市 竹園 2-7-27,飲食 / 飲食店・喫茶店
DOCTOR PHO つくばてん,つくば市 竹園 2丁目11番地15,飲食 / 飲食店・喫茶店
インド ネパール料理ヒマラヤ インドネパール料理ヒマラヤ,つくば市 竹園 2丁目6番1号,飲食 / 飲食店・喫茶店
かくれ居酒屋 大将別館 かくれ居酒屋 大将別館,つくば市 竹園 2丁目7番地20,飲食 / 飲食店・喫茶店
モッツバー 高の家 つくば店 モッツバー 高の家 つくば店,つくば市 竹園1-9-2,飲食 / 飲食店・喫茶店
季彩かがり 季彩かがり,つくば市 竹園1-9-2 デイズタウンB1F,飲食 / 飲食店・喫茶店
パークダイナー つくばPARKDINER,"つくば市 竹園1-9-2, DAYZTOWN B1",飲食 / 飲食店・喫茶店
とよ長 とよ長,つくば市 竹園2-3-7,飲食 / 飲食店・喫茶店
活龍 活龍甲殻堂,つくば市 筑穂 1-10-13 H&YII3号,飲食 / 飲食店・喫茶店
とりだけ とりだけ つくば店,つくば市 筑穂 1-10-27 H&Y101,飲食 / 飲食店・喫茶店
活龍 活龍本店,つくば市 筑穂 1-10-27 H&Y1F,飲食 / 飲食店・喫茶店
鉄板食堂 肉の番人 ,つくば市 筑穂 1-1-13 KMS-SIII101,飲食 / 飲食店・喫茶店
EARTH CHICKEN&FIRE ,つくば市 筑穂 1ー14ー13,飲食 / 飲食店・喫茶店
Coocy カレーライス専門店Coocy,つくば市 筑穂 1-2-1 OTNビル101,飲食 / 飲食店・喫茶店
Last Waltz ,つくば市 筑穂 1丁目16-1 NTビル102,飲食 / 飲食店・喫茶店
COFFEE BAR stove COFFEE BAR stove,つくば市 中山 44-1 シーズガーデン103,飲食 / 飲食店・喫茶店
もつ街道 ,つくば市 長高野 1064-2,飲食 / 飲食店・喫茶店
粉とクリーム HALAL カフェ 筑波大学第3エリア,つくば市 天王台1-1-1,飲食 / 飲食店・喫茶店
Delica kitchen ruru デリカキッチンルル,つくば市 天久保 1-10-18 リッチモンド1番街102,飲食 / 飲食店・喫茶店
千里香 千里香 つくば,つくば市 天久保 1-10-18 リッチモンド一番街207,飲食 / 飲食店・喫茶店
喜楽商店 ,つくば市 天久保 1-10-4 ジョイプラザ天久保5号室,飲食 / 飲食店・喫茶店
Indian Nepali Restaurant Namaste Kitchen インドネパールレストラン ナマステキッチン,つくば市 天久保 1-10-4 ジョイプラザ天久保6号,飲食 / 飲食店・喫茶店
liquid ,つくば市 天久保 1-16-7,飲食 / 飲食店・喫茶店
KING PHO KING PHO つくば店,つくば市 天久保 1-16-7 さくらビルD号,飲食 / 飲食店・喫茶店
囲炉裏焼 杉 ,つくば市 天久保 1-17-8,飲食 / 飲食店・喫茶店
すし遊膳森田 ,つくば市 天久保 1ー8ー3,飲食 / 飲食店・喫茶店
BEER BAR GIRLIE SHOT BEER BAR GIRLIE SHOT ガーリーショット,つくば市 天久保 1-6-1 ヤマキビル101,飲食 / 飲食店・喫茶店
ららら らーめん ,つくば市 天久保 1-6-11 くいだおれ1号館,飲食 / 飲食店・喫茶店
セルフ酒場 グータッチ セルフ酒場 グータッチ,つくば市 天久保 1-6-12 くいだおれビル 75館1階,飲食 / 飲食店・喫茶店
sweets shop ドルチェ ,つくば市 天久保 1-7-14,飲食 / 飲食店・喫茶店
Borrachos Borrachos,つくば市 天久保 1-7-7 シグマビル101,飲食 / 飲食店・喫茶店
Betty's Amakubo ,つくば市 天久保 1-7-7 シグマビル104,飲食 / 飲食店・喫茶店
NAMASTE KITCHEN インドネパールレストラン ナマステキッチン つくば店,つくば市 天久保 1丁目10-4 ジョイプラザ天久保,飲食 / 飲食店・喫茶店
中国料理台北大飯店 中国料理 台北大飯店,つくば市 天久保 1丁目1-6 天久保ショッピングセンター1F,飲食 / 飲食店・喫茶店
OctBaSS ,つくば市 天久保 1丁目5−4 くいだおれ2号館1階,飲食 / 飲食店・喫茶店
とんとこ豚 とんとこ豚,つくば市 天久保 2-18-4,飲食 / 飲食店・喫茶店
幸せのポキ丼ポノポノ亭 ポノポノ亭,つくば市 天久保 2-4-22 平砂マンション,飲食 / 飲食店・喫茶店
川聚閣 川聚閣,つくば市 天久保 2-4-22 平砂マンション100,飲食 / 飲食店・喫茶店
好来屋 好来屋(コウライヤ)筑波大学店,つくば市 天久保 2-6-1 ベストランド201,飲食 / 飲食店・喫茶店
炭火焼肉韓国料理ハンアリ 炭火焼肉韓国料理ハンアリ,つくば市 天久保 2-6-24,飲食 / 飲食店・喫茶店
活龍 活龍大衆麺処真壁屋,つくば市 天久保 2-6-26 G&Y,飲食 / 飲食店・喫茶店
特製飯屋Highway ,つくば市 天久保 2-9-2 リッチモンド2-B201,飲食 / 飲食店・喫茶店
インド料理 JEWEL OF INDIA インド料理 JEWEL OF INDIA ジュエル オブ インディア,つくば市 天久保 3-10-16,飲食 / 飲食店・喫茶店
福軒餃子 つくば大学店,つくば市 天久保 3-11-18,飲食 / 飲食店・喫茶店
めしや 益さん ,つくば市 天久保 3-14-11 ビレッジコスモ102号,飲食 / 飲食店・喫茶店
LATIGO ,つくば市 天久保 3-15-4 丸三ビル 1F,飲食 / 飲食店・喫茶店
サザコーヒー 筑波大学アリアンサ店,つくば市 天久保 3丁目1 筑波大学 D棟向かい,飲食 / 飲食店・喫茶店
百香亭 筑波大学店,つくば市 天久保 3丁目15-1,飲食 / 飲食店・喫茶店
蛇の目寿司 つくば蛇の目寿司,つくば市 天久保 3丁目15番地1 ヤマサビル102号室,飲食 / 飲食店・喫茶店
ドルフ 喫茶食堂ドルフ,つくば市 天久保 3丁目8番地6,飲食 / 飲食店・喫茶店
naked bar naked bar,つくば市 天久保1-10-18,飲食 / 飲食店・喫茶店
DOCTOR PHO AMAKUBO DOCTOR PHO AMAKUBO,つくば市 天久保1-10-22,飲食 / 飲食店・喫茶店
麺屋 とみよし ,つくば市 天久保1-16-7 さくらビル1階,飲食 / 飲食店・喫茶店
四川料理・麻辣十食 四川料理・麻辣十食,つくば市 天久保1-6-15 細田ビルD101,飲食 / 飲食店・喫茶店
中華料理 北方園 ,つくば市 天久保1丁目10-18 リッチモンド壱番館,飲食 / 飲食店・喫茶店
ばんどう太郎 つくば学園中央店 ,つくば市 天久保2-14-1,飲食 / 飲食店・喫茶店
Guns Indian & Asian Restaurant Indian Restaurant & Bar GUNS,つくば市 天久保2-6-26,飲食 / 飲食店・喫茶店
アリーズ・ケバブ つくば店,つくば市 天久保2-6-8,飲食 / 飲食店・喫茶店
桃ちゃん弁当 桃ちゃん弁当,つくば市 天久保3丁目14-5,飲食 / 飲食店・喫茶店
都鮨 ,つくば市 天宝喜 729-1,飲食 / 飲食店・喫茶店
韓国家庭料理 どらじ 韓国家庭料理 どらじ,つくば市 島172-1,飲食 / 飲食店・喫茶店
HENRY HENRY,つくば市 島名 392-5,飲食 / 飲食店・喫茶店
レストラン アクティブ ,つくば市 島名 784,飲食 / 飲食店・喫茶店
Pasta magari Pasta magari,つくば市 島名4370 諏訪C22街区7画地,飲食 / 飲食店・喫茶店
旬彩和食よし田 ,つくば市 東岡 446-6,飲食 / 飲食店・喫茶店
イヴ・ガーデン カフェ ,つくば市 東岡 82-1,飲食 / 飲食店・喫茶店
ファイヤービーフ ,つくば市 東光台 1丁目7番地14,飲食 / 飲食店・喫茶店
麺処 寿々喜 ,つくば市 東光台 3-7-10,飲食 / 飲食店・喫茶店
紫峰鮨 ,つくば市 東光台 3丁目1番地の1,飲食 / 飲食店・喫茶店
すし屋吉兵衛 かついち,つくば市 東光台2-10-15,飲食 / 飲食店・喫茶店
HOWDY HOWDY,つくば市 東光台2-18-11,飲食 / 飲食店・喫茶店
dining NAKA ,つくば市 東光台2-18-5,飲食 / 飲食店・喫茶店
オリエンタルモーターつくば事業所(グリーンハウス) オリエンタルモーターつくば事業所,つくば市 東光台5-8-3 オリエンタルモーターつくば事業所,飲食 / 飲食店・喫茶店
とんQ 本店,つくば市 東新井 13-12,飲食 / 飲食店・喫茶店
金太楼鮨 筑波学園店,つくば市 東新井 17-2,飲食 / 飲食店・喫茶店
Spanish Bar Bonito スパニッシュバル ボニート,つくば市 東新井 17-3 クローバーテナント1F-A,飲食 / 飲食店・喫茶店
炙りや秀苑 ,つくば市 東新井 18-7,飲食 / 飲食店・喫茶店
カフェ・リビング ,つくば市 東新井 26-13,飲食 / 飲食店・喫茶店
百香亭 つくば本店,つくば市 東平塚894-3,飲食 / 飲食店・喫茶店
タイ国料理レストラン コワタイ タイ国料理レストラン コワタイ,つくば市 南中妻 826-5,飲食 / 飲食店・喫茶店
本場南インド料理 タージマハル ,つくば市 二の宮 2-14-15,飲食 / 飲食店・喫茶店
シャンドゥブレ ,つくば市 二の宮 2-14-16 セントラル88   101,飲食 / 飲食店・喫茶店
いいむらや ,つくば市 二の宮 2-14-17 ハミングバードつくば105,飲食 / 飲食店・喫茶店
炭がま 炭がま,つくば市 二の宮 2-1-5,飲食 / 飲食店・喫茶店
フラワー&ガレットカフェ アガト ,つくば市 二の宮 2-15-21,飲食 / 飲食店・喫茶店
MaSiLocafe ,つくば市 二の宮 2-20 新都市記念館内,飲食 / 飲食店・喫茶店
インドネパール料理ラージャつくば店 ラージャつくば店,つくば市 二の宮 2-2-3,飲食 / 飲食店・喫茶店
とんかつカフェSHIZUKI ,つくば市 二の宮 2-2-35 ツクバテラスVI,飲食 / 飲食店・喫茶店
Cutlet Cafe aoioto ,つくば市 二の宮 2−2−35 つくばテラス内,飲食 / 飲食店・喫茶店
イタリアンダイニングエレガンス ELEGANCE,つくば市 二の宮 3−15−28,飲食 / 飲食店・喫茶店
お料理 わ可ば お料理 わ可ば,つくば市 二の宮 3-2-11 平田ビル1F,飲食 / 飲食店・喫茶店
イタリア料理 リネア つくば店,つくば市 二の宮 3-27-2,飲食 / 飲食店・喫茶店
リネア ,つくば市 二の宮 3丁目 27-2 104,飲食 / 飲食店・喫茶店
I ZA KA YA吉 I Z A K A Y A吉,つくば市 二の宮 3丁目16-8,飲食 / 飲食店・喫茶店
株式会社NUKコーポレーション ヴォーノ・イタリア つくば学園店,つくば市 二の宮2-1-1,飲食 / 飲食店・喫茶店
ヴォーノイタリア ヴォーノイタリア つくば学園店,つくば市 二の宮2-1-1,飲食 / 飲食店・喫茶店
チムニー 二の宮店,つくば市 二の宮2-1-6,飲食 / 飲食店・喫茶店
NON CAFE NON CAFE,つくば市 二の宮2-17-12 ARUMIKビル1F,飲食 / 飲食店・喫茶店
ひだか ひだか,つくば市 二の宮2-2-22,飲食 / 飲食店・喫茶店
OwL 日本茶専門店&和カフェ,つくば市 二の宮2丁目14-16 CENTRAL88 1F,飲食 / 飲食店・喫茶店
きくの家 きくの家,つくば市 二の宮3-8-1,飲食 / 飲食店・喫茶店
LaPaste ,つくば市 梅園 2-25-16,飲食 / 飲食店・喫茶店
アリスの茶屋 ,つくば市 梅園 2丁目11-8,飲食 / 飲食店・喫茶店
じげもんちゃんぽん じげもんちゃんぽんつくば梅園店,つくば市 梅園2-25-16 じげもんちゃんぽんつくば梅園店,飲食 / 飲食店・喫茶店
うなぎ 大はし ,つくば市 泊崎 209-3,飲食 / 飲食店・喫茶店
爆裂石焼らーめん一兆 つくば並木店,つくば市 並木 4丁目17-8,飲食 / 飲食店・喫茶店
マルゲンミート マルゲンミート,つくば市 並木3丁目26番27,飲食 / 飲食店・喫茶店
結城家 結城家つくば店,つくば市 明神 377-3,飲食 / 飲食店・喫茶店
itte mikka ,つくば市 流星台 24-1,飲食 / 飲食店・喫茶店
寿司やまと つくば店,つくば市舘野 6-1,飲食 / 飲食店・喫茶店
塩梅 ごはんと暮らしの塩梅,つくば市作谷 673,飲食 / 飲食店・喫茶店
つくば山水亭 つくば山水亭本店,つくば市小野崎 254,飲食 / 飲食店・喫茶店
縁counter 縁counter,つくば市天久保 2丁目6-1 ベストランドIV 101号室,飲食 / 飲食店・喫茶店
ひたち野 ,つくば市 臼井 2103-5,飲食 / 飲食店・喫茶店
筑膳 ,つくば市 沼田 1441-1,飲食 / 飲食店・喫茶店
サンドサンド ,つくば市 沼田 935-6,飲食 / 飲食店・喫茶店
塩梅 塩梅,つくば市 神郡 366-1,飲食 / 飲食店・喫茶店
ウエストハウス 本店,つくば市二の宮2-14-12,飲食 / 飲食店・喫茶店
